weekstart,weekend,week_id,season
2001-11-04,2001-11-10,1,2002
2001-11-11,2001-11-17,2,2002
2001-11-18,2001-11-24,3,2002
2001-11-25,2001-12-01,4,2002
2001-12-02,2001-12-08,5,2002
2001-12-09,2001-12-15,6,2002
2001-12-16,2001-12-22,7,2002
2001-12-23,2001-12-29,8,2002
2001-12-30,2002-01-05,9,2002
2002-01-06,2002-01-12,10,2002
2002-01-13,2002-01-19,11,2002
2002-01-20,2002-01-26,12,2002
2002-01-27,2002-02-02,13,2002
2002-02-03,2002-02-16,14,2002
2002-02-17,2002-02-23,15,2002
2002-02-24,2002-03-02,16,2002
2002-03-03,2002-03-09,17,2002
2002-03-10,2002-03-16,18,2002
2002-03-17,2002-03-23,19,2002
2002-03-24,2002-03-30,20,2002
2002-03-31,2002-04-06,21,2002
2002-04-07,2002-04-13,22,2002
2002-11-03,2002-11-09,23,2003
2002-11-10,2002-11-16,24,2003
2002-11-17,2002-11-23,25,2003
2002-11-24,2002-11-30,26,2003
2002-12-01,2002-12-07,27,2003
2002-12-08,2002-12-14,28,2003
2002-12-15,2002-12-21,29,2003
2002-12-22,2002-12-28,30,2003
2002-12-29,2003-01-04,31,2003
2003-01-05,2003-01-11,32,2003
2003-01-12,2003-01-18,33,2003
2003-01-19,2003-01-25,34,2003
2003-01-26,2003-02-01,35,2003
2003-02-02,2003-02-15,36,2003
2003-02-16,2003-02-22,37,2003
2003-02-23,2003-03-01,38,2003
2003-03-02,2003-03-08,39,2003
2003-03-09,2003-03-15,40,2003
2003-03-16,2003-03-22,41,2003
2003-03-23,2003-03-29,42,2003
2003-03-30,2003-04-05,43,2003
2003-04-06,2003-04-12,44,2003
2003-04-13,2003-04-19,45,2003
2003-11-02,2003-11-08,46,2004
2003-11-09,2003-11-15,47,2004
2003-11-16,2003-11-22,48,2004
2003-11-23,2003-11-29,49,2004
2003-11-30,2003-12-06,50,2004
2003-12-07,2003-12-13,51,2004
2003-12-14,2003-12-20,52,2004
2003-12-21,2003-12-27,53,2004
2003-12-28,2004-01-03,54,2004
2004-01-04,2004-01-10,55,2004
2004-01-11,2004-01-17,56,2004
2004-01-18,2004-01-24,57,2004
2004-01-25,2004-01-31,58,2004
2004-02-01,2004-02-07,59,2004
2004-02-08,2004-02-21,60,2004
2004-02-22,2004-02-28,61,2004
2004-02-29,2004-03-06,62,2004
2004-03-07,2004-03-13,63,2004
2004-03-14,2004-03-20,64,2004
2004-03-21,2004-03-28,65,2004
2004-03-29,2004-04-04,66,2004
2004-04-05,2004-04-11,67,2004
2004-04-12,2004-04-18,68,2004
2004-11-07,2004-11-13,69,2005
2004-11-14,2004-11-20,70,2005
2004-11-21,2004-11-27,71,2005
2004-11-28,2004-12-04,72,2005
2004-12-05,2004-12-11,73,2005
2004-12-12,2004-12-18,74,2005
2004-12-19,2004-12-25,75,2005
2004-12-26,2005-01-01,76,2005
2005-01-02,2005-01-08,77,2005
2005-01-09,2005-01-15,78,2005
2005-01-16,2005-01-22,79,2005
2005-01-23,2005-01-29,80,2005
2005-01-30,2005-02-05,81,2005
2005-02-06,2005-02-12,82,2005
2005-02-13,2005-02-26,83,2005
2005-02-27,2005-03-05,84,2005
2005-03-06,2005-03-12,85,2005
2005-03-13,2005-03-19,86,2005
2005-03-20,2005-03-26,87,2005
2005-03-27,2005-04-02,88,2005
2005-04-03,2005-04-09,89,2005
2005-04-10,2005-04-16,90,2005
2005-04-17,2005-04-23,91,2005
2005-11-07,2005-11-13,92,2006
2005-11-14,2005-11-20,93,2006
2005-11-21,2005-11-27,94,2006
2005-11-28,2005-12-04,95,2006
2005-12-05,2005-12-11,96,2006
2005-12-12,2005-12-18,97,2006
2005-12-19,2005-12-25,98,2006
2005-12-26,2005-12-31,99,2006
2006-01-01,2006-01-07,100,2006
2006-01-08,2006-01-14,101,2006
2006-01-15,2006-01-21,102,2006
2006-01-22,2006-01-29,103,2006
2006-01-30,2006-02-05,104,2006
2006-02-06,2006-02-12,105,2006
2006-02-13,2006-02-26,106,2006
2006-02-27,2006-03-04,107,2006
2006-03-05,2006-03-11,108,2006
2006-03-12,2006-03-18,109,2006
2006-03-19,2006-03-25,110,2006
2006-03-26,2006-04-01,111,2006
2006-04-02,2006-04-08,112,2006
2006-04-09,2006-04-15,113,2006
2006-04-16,2006-04-22,114,2006
2006-11-06,2006-11-11,115,2007
2006-11-12,2006-11-18,116,2007
2006-11-19,2006-11-25,117,2007
2006-11-26,2006-12-02,118,2007
2006-12-03,2006-12-09,119,2007
2006-12-10,2006-12-16,120,2007
2006-12-17,2006-12-23,121,2007
2006-12-24,2006-12-30,122,2007
2006-12-31,2007-01-06,123,2007
2007-01-07,2007-01-13,124,2007
2007-01-14,2007-01-20,125,2007
2007-01-21,2007-01-27,126,2007
2007-01-28,2007-02-03,127,2007
2007-02-04,2007-02-10,128,2007
2007-02-11,2007-02-24,129,2007
2007-02-25,2007-03-03,130,2007
2007-03-04,2007-03-10,131,2007
2007-03-11,2007-03-17,132,2007
2007-03-18,2007-03-24,133,2007
2007-03-25,2007-03-31,134,2007
2007-04-01,2007-04-07,135,2007
2007-04-08,2007-04-14,136,2007
2007-04-15,2007-04-21,137,2007
2007-11-04,2007-11-10,138,2008
2007-11-11,2007-11-17,139,2008
2007-11-18,2007-11-24,140,2008
2007-11-25,2007-12-01,141,2008
2007-12-02,2007-12-08,142,2008
2007-12-09,2007-12-15,143,2008
2007-12-16,2007-12-22,144,2008
2007-12-23,2007-12-29,145,2008
2007-12-30,2008-01-05,146,2008
2008-01-06,2008-01-12,147,2008
2008-01-13,2008-01-19,148,2008
2008-01-20,2008-01-26,149,2008
2008-01-27,2008-02-02,150,2008
2008-02-03,2008-02-09,151,2008
2008-02-10,2008-02-23,152,2008
2008-02-24,2008-03-01,153,2008
2008-03-02,2008-03-08,154,2008
2008-03-09,2008-03-15,155,2008
2008-03-16,2008-03-22,156,2008
2008-03-23,2008-03-29,157,2008
2008-03-30,2008-04-05,158,2008
2008-04-06,2008-04-12,159,2008
2008-04-13,2008-04-19,160,2008
2008-11-03,2008-11-09,161,2009
2008-11-10,2008-11-16,162,2009
2008-11-17,2008-11-23,163,2009
2008-11-24,2008-11-30,164,2009
2008-12-01,2008-12-07,165,2009
2008-12-08,2008-12-14,166,2009
2008-12-15,2008-12-21,167,2009
2008-12-22,2008-12-28,168,2009
2008-12-29,2009-01-04,169,2009
2009-01-05,2009-01-11,170,2009
2009-01-12,2009-01-18,171,2009
2009-01-19,2009-01-25,172,2009
2009-01-26,2009-02-01,173,2009
2009-02-02,2009-02-08,174,2009
2009-02-09,2009-02-22,175,2009
2009-02-23,2009-03-01,176,2009
2009-03-02,2009-03-08,177,2009
2009-03-09,2009-03-15,178,2009
2009-03-16,2009-03-22,179,2009
2009-03-23,2009-03-29,180,2009
2009-03-30,2009-04-05,181,2009
2009-04-06,2009-04-12,182,2009
2009-04-13,2009-04-19,183,2009
2009-11-02,2009-11-08,184,2010
2009-11-09,2009-11-15,185,2010
2009-11-16,2009-11-22,186,2010
2009-11-23,2009-11-29,187,2010
2009-11-30,2009-12-06,188,2010
2009-12-07,2009-12-13,189,2010
2009-12-14,2009-12-20,190,2010
2009-12-21,2009-12-27,191,2010
2009-12-28,2010-01-03,192,2010
2010-01-04,2010-01-10,193,2010
2010-01-11,2010-01-18,194,2010
2010-01-19,2010-01-24,195,2010
2010-01-25,2010-01-31,196,2010
2010-02-01,2010-02-07,197,2010
2010-02-08,2010-02-21,198,2010
2010-02-22,2010-02-28,199,2010
2010-03-01,2010-03-07,200,2010
2010-03-08,2010-03-14,201,2010
2010-03-15,2010-03-21,202,2010
2010-03-22,2010-03-28,203,2010
2010-03-29,2010-04-04,204,2010
2010-04-05,2010-04-11,205,2010
2010-04-12,2010-04-18,206,2010
2010-11-01,2010-11-07,207,2011
2010-11-08,2010-11-14,208,2011
2010-11-15,2010-11-21,209,2011
2010-11-22,2010-11-28,210,2011
2010-11-29,2010-12-05,211,2011
2010-12-06,2010-12-12,212,2011
2010-12-13,2010-12-19,213,2011
2010-12-20,2010-12-26,214,2011
2010-12-27,2011-01-02,215,2011
2011-01-03,2011-01-09,216,2011
2011-01-10,2011-01-17,217,2011
2011-01-18,2011-01-23,218,2011
2011-01-24,2011-01-30,219,2011
2011-01-31,2011-02-06,220,2011
2011-02-07,2011-02-13,221,2011
2011-02-14,2011-02-27,222,2011
2011-02-28,2011-03-06,223,2011
2011-03-07,2011-03-13,224,2011
2011-03-14,2011-03-20,225,2011
2011-03-21,2011-03-27,226,2011
2011-03-28,2011-04-03,227,2011
2011-04-04,2011-04-10,228,2011
2011-04-11,2011-04-17,229,2011
2012-01-03,2012-01-08,230,2012
2012-01-09,2012-01-15,231,2012
2012-01-16,2012-01-22,232,2012
2012-01-23,2012-01-29,233,2012
2012-01-30,2012-02-05,234,2012
2012-02-06,2012-02-12,235,2012
2012-02-13,2012-02-19,236,2012
2012-02-20,2012-03-04,237,2012
2012-03-05,2012-03-11,238,2012
2012-03-12,2012-03-18,239,2012
2012-03-19,2012-03-25,240,2012
2012-03-26,2012-04-01,241,2012
2012-04-02,2012-04-08,242,2012
2012-04-09,2012-04-15,243,2012
2012-04-16,2012-04-22,244,2012
2012-04-23,2012-04-29,245,2012
2012-11-05,2012-11-11,246,2013
2012-11-12,2012-11-18,247,2013
2012-11-19,2012-11-25,248,2013
2012-11-26,2012-12-02,249,2013
2012-12-03,2012-12-09,250,2013
2012-12-10,2012-12-16,251,2013
2012-12-17,2012-12-23,252,2013
2012-12-24,2012-12-30,253,2013
2012-12-31,2013-01-06,254,2013
2013-01-07,2013-01-13,255,2013
2013-01-14,2013-01-20,256,2013
2013-01-21,2013-01-27,257,2013
2013-01-28,2013-02-03,258,2013
2013-02-04,2013-02-10,259,2013
2013-02-11,2013-02-24,260,2013
2013-02-25,2013-03-03,261,2013
2013-03-04,2013-03-10,262,2013
2013-03-11,2013-03-17,263,2013
2013-03-18,2013-03-24,264,2013
2013-03-25,2013-03-31,265,2013
2013-04-01,2013-04-07,266,2013
2013-04-08,2013-04-14,267,2013
2013-04-15,2013-04-21,268,2013
2013-11-04,2013-11-10,269,2014
2013-11-11,2013-11-17,270,2014
2013-11-18,2013-11-24,271,2014
2013-11-25,2013-12-01,272,2014
2013-12-02,2013-12-08,273,2014
2013-12-09,2013-12-15,274,2014
2013-12-16,2013-12-22,275,2014
2013-12-23,2013-12-29,276,2014
2013-12-30,2014-01-05,277,2014
2014-01-06,2014-01-12,278,2014
2014-01-13,2014-01-19,279,2014
2014-01-20,2014-01-26,280,2014
2014-01-27,2014-02-02,281,2014
2014-02-03,2014-02-09,282,2014
2014-02-10,2014-02-23,283,2014
2014-02-24,2014-03-02,284,2014
2014-03-03,2014-03-09,285,2014
2014-03-10,2014-03-16,286,2014
2014-03-17,2014-03-23,287,2014
2014-03-24,2014-03-30,288,2014
2014-03-31,2014-04-06,289,2014
2014-04-07,2014-04-13,290,2014
2014-04-14,2014-04-20,291,2014
2014-11-03,2014-11-09,292,2015
2014-11-10,2014-11-16,293,2015
2014-11-17,2014-11-23,294,2015
2014-11-24,2014-11-30,295,2015
2014-12-01,2014-12-07,296,2015
2014-12-08,2014-12-14,297,2015
2014-12-15,2014-12-21,298,2015
2014-12-22,2014-12-28,299,2015
2014-12-29,2015-01-04,300,2015
2015-01-05,2015-01-11,301,2015
2015-01-12,2015-01-18,302,2015
2015-01-19,2015-01-25,303,2015
2015-01-26,2015-02-01,304,2015
2015-02-02,2015-02-08,305,2015
2015-02-09,2015-03-01,306,2015
2015-03-02,2015-03-08,307,2015
2015-03-09,2015-03-15,308,2015
2015-03-16,2015-03-22,309,2015
2015-03-23,2015-03-29,310,2015
2015-03-30,2015-04-05,311,2015
2015-04-06,2015-04-12,312,2015
2015-04-13,2015-04-19,313,2015
2015-11-02,2015-11-08,314,2016
2015-11-09,2015-11-15,315,2016
2015-11-16,2015-11-22,316,2016
2015-11-23,2015-11-29,317,2016
2015-11-30,2015-12-06,318,2016
2015-12-07,2015-12-13,319,2016
2015-12-14,2015-12-20,320,2016
2015-12-21,2015-12-27,321,2016
2015-12-28,2016-01-03,322,2016
2016-01-04,2016-01-10,323,2016
2016-01-11,2016-01-17,324,2016
2016-01-18,2016-01-24,325,2016
2016-01-25,2016-01-31,326,2016
2016-02-01,2016-02-07,327,2016
2016-02-08,2016-02-28,328,2016
2016-02-29,2016-03-06,329,2016
2016-03-07,2016-03-13,330,2016
2016-03-14,2016-03-20,331,2016
2016-03-21,2016-03-27,332,2016
2016-03-28,2016-04-03,333,2016
2016-04-04,2016-04-10,334,2016
2016-04-11,2016-04-17,335,2016
2016-10-31,2016-11-06,336,2017
2016-11-07,2016-11-13,337,2017
2016-11-14,2016-11-20,338,2017
2016-11-21,2016-11-27,339,2017
2016-11-28,2016-12-04,340,2017
2016-12-05,2016-12-11,341,2017
2016-12-12,2016-12-18,342,2017
2016-12-19,2016-12-25,343,2017
2016-12-26,2017-01-01,344,2017
2017-01-02,2017-01-08,345,2017
2017-01-09,2017-01-15,346,2017
2017-01-16,2017-01-22,347,2017
2017-01-23,2017-01-29,348,2017
2017-01-30,2017-02-05,349,2017
2017-02-06,2017-02-12,350,2017
2017-02-13,2017-03-05,351,2017
2017-03-06,2017-03-12,352,2017
2017-03-13,2017-03-19,353,2017
2017-03-20,2017-03-26,354,2017
2017-03-27,2017-04-02,355,2017
2017-04-03,2017-04-09,356,2017
2017-04-10,2017-04-16,357,2017
2017-10-23,2017-10-29,358,2018
2017-10-30,2017-11-05,359,2018
2017-11-06,2017-11-12,360,2018
2017-11-13,2017-11-19,361,2018
2017-11-20,2017-11-26,362,2018
2017-11-27,2017-12-03,363,2018
2017-12-04,2017-12-10,364,2018
2017-12-11,2017-12-17,365,2018
2017-12-18,2017-12-25,366,2018
2017-12-26,2018-01-01,367,2018
2018-01-02,2018-01-07,368,2018
2018-01-08,2018-01-14,369,2018
2018-01-15,2018-01-21,370,2018
2018-01-22,2018-01-28,371,2018
2018-01-29,2018-02-04,372,2018
2018-02-05,2018-02-11,373,2018
2018-02-12,2018-03-04,374,2018
2018-03-05,2018-03-11,375,2018
2018-03-12,2018-03-18,376,2018
2018-03-19,2018-03-25,377,2018
2018-03-26,2018-04-01,378,2018
2018-04-02,2018-04-08,379,2018
2018-04-09,2018-04-15,380,2018
2018-10-22,2018-10-28,381,2019
2018-10-29,2018-11-04,382,2019
2018-11-05,2018-11-11,383,2019
2018-11-12,2018-11-18,384,2019
2018-11-19,2018-11-25,385,2019
2018-11-26,2018-12-02,386,2019
2018-12-03,2018-12-09,387,2019
2018-12-10,2018-12-16,388,2019
2018-12-17,2018-12-23,389,2019
2018-12-24,2018-12-30,390,2019
2018-12-31,2019-01-06,391,2019
2019-01-07,2019-01-13,392,2019
2019-01-14,2019-01-20,393,2019
2019-01-21,2019-01-27,394,2019
2019-01-28,2019-02-03,395,2019
2019-02-04,2019-02-10,396,2019
2019-02-11,2019-03-03,397,2019
2019-03-04,2019-03-10,398,2019
2019-03-11,2019-03-17,399,2019
2019-03-18,2019-03-24,400,2019
2019-03-25,2019-03-31,401,2019
2019-04-01,2019-04-07,402,2019
2019-04-08,2019-04-14,403,2019
2019-10-28,2019-11-03,404,2020
2019-11-04,2019-11-10,405,2020
2019-11-11,2019-11-17,406,2020
2019-11-18,2019-11-24,407,2020
2019-11-25,2019-12-01,408,2020
2019-12-02,2019-12-08,409,2020
2019-12-09,2019-12-15,410,2020
2019-12-16,2019-12-22,411,2020
2019-12-23,2019-12-29,412,2020
2019-12-30,2020-01-05,413,2020
2020-01-06,2020-01-12,414,2020
2020-01-13,2020-01-19,415,2020
2020-01-20,2020-01-26,416,2020
2020-01-27,2020-02-02,417,2020
2020-02-03,2020-02-09,418,2020
2020-02-10,2020-03-01,419,2020
2020-03-02,2020-03-08,420,2020
2020-03-09,2020-03-15,421,2020
2020-12-28,2021-01-03,422,2021
2021-01-04,2021-01-10,423,2021
2021-01-11,2021-01-17,424,2021
2021-01-18,2021-01-24,425,2021
2021-01-25,2021-01-31,426,2021
2021-02-01,2021-02-07,427,2021
2021-02-08,2021-02-14,428,2021
2021-02-15,2021-02-21,429,2021
2021-02-22,2021-02-28,430,2021
2021-03-01,2021-03-21,431,2021
2021-03-22,2021-03-28,432,2021
2021-03-29,2021-04-04,433,2021
2021-04-05,2021-04-11,434,2021
2021-04-12,2021-04-18,435,2021
2021-04-19,2021-04-25,436,2021
2021-04-26,2021-05-02,437,2021
2021-05-03,2021-05-09,438,2021
2021-05-10,2021-05-16,439,2021
2021-05-17,2021-05-23,440,2021
2021-10-25,2021-10-31,441,2022
2021-11-01,2021-11-07,442,2022
2021-11-08,2021-11-14,443,2022
2021-11-15,2021-11-21,444,2022
2021-11-22,2021-11-28,445,2022
2021-11-29,2021-12-05,446,2022
2021-12-06,2021-12-12,447,2022
2021-12-13,2021-12-19,448,2022
2021-12-20,2021-12-26,449,2022
2021-12-27,2022-01-02,450,2022
2022-01-03,2022-01-09,451,2022
2022-01-10,2022-01-16,452,2022
2022-01-17,2022-01-23,453,2022
2022-01-24,2022-01-30,454,2022
2022-01-31,2022-02-06,455,2022
2022-02-07,2022-02-13,456,2022
2022-02-14,2022-03-06,457,2022
2022-03-07,2022-03-13,458,2022
2022-03-14,2022-03-20,459,2022
2022-03-21,2022-03-27,460,2022
2022-03-28,2022-04-03,461,2022
2022-04-04,2022-04-10,462,2022
2022-04-11,NA,463,2022
